"Date","Price","Open","High","Low","Change %"
"Jan 19","6.540","7.046","7.046","6.169","-7.18%"
"Dec 18","7.046","7.035","7.249","7.010","0.16%"
"Nov 18","7.035","7.950","7.981","7.035","-11.51%"
"Oct 18","7.950","7.557","8.189","7.366","10.22%"
"Sep 18","7.213","6.757","7.598","6.425","13.23%"
"Aug 18","6.370","6.525","6.829","6.370","-2.67%"
"Jul 18","6.545","6.453","6.675","6.344","1.92%"
"Jun 18","6.422","6.080","7.046","6.060","5.30%"
"May 18","6.099","6.175","6.870","6.032","-1.68%"
"Apr 18","6.203","6.764","7.004","5.950","3.38%"
"Mar 18","6.000","6.802","6.870","5.906","-10.90%"
"Feb 18","6.734","6.075","6.879","6.075","8.49%"
"Jan 18","6.207","5.550","6.207","5.500","8.91%"
"Dec 17","5.699","5.704","5.827","5.575","2.59%"
"Nov 17","5.555","5.015","5.634","5.015","15.85%"
"Oct 17","4.795","4.613","4.846","4.613","4.04%"
"Sep 17","4.609","4.631","4.946","4.538","-1.22%"
"Aug 17","4.666","4.989","5.099","4.635","-0.17%"
"Jul 17","4.674","5.041","5.103","4.650","0.11%"
"Jun 17","4.669","5.006","5.006","4.603","-6.09%"
"May 17","4.972","5.096","5.160","4.725","-3.68%"
"Apr 17","5.162","5.159","5.546","5.134","2.12%"
"Mar 17","5.055","4.408","5.444","4.408","15.73%"
"Feb 17","4.368","4.302","5.000","4.236","1.58%"
"Jan 17","4.300","5.139","5.139","4.264","-7.09%"
"Dec 16","4.628","4.706","5.246","4.493","2.39%"
"Nov 16","4.520","4.039","5.213","3.958","14.90%"
"Oct 16","3.934","3.634","4.445","3.634","7.93%"
"Sep 16","3.645","3.416","3.645","3.262","6.95%"
"Aug 16","3.408","3.222","3.427","3.195","4.96%"
"Jul 16","3.247","4.218","4.445","3.161","-23.02%"
"Jun 16","4.218","4.432","4.687","4.075","-5.70%"
"May 16","4.473","4.678","4.727","4.213","-2.38%"
"Apr 16","4.582","4.690","4.805","3.675","-2.30%"
"Mar 16","4.690","3.797","4.988","3.797","22.52%"
"Feb 16","3.828","4.190","4.190","3.807","-9.01%"
"Jan 16","4.207","4.120","4.419","4.114","2.61%"
"Dec 15","4.100","4.066","4.608","4.066","0.74%"
"Nov 15","4.070","3.735","4.109","3.735","9.41%"
"Oct 15","3.720","3.777","3.777","3.665","-2.08%"
"Sep 15","3.799","4.360","4.478","3.645","-12.87%"
"Aug 15","4.360","4.185","4.382","4.170","4.18%"
"Jul 15","4.185","4.340","4.447","4.185","-3.90%"
"Jun 15","4.355","4.358","4.385","4.325","0.18%"
"May 15","4.347","4.503","4.503","4.315","0.79%"
"Apr 15","4.313","4.165","4.313","4.092","6.21%"
"Mar 15","4.061","3.945","4.116","3.934","2.71%"
"Feb 15","3.954","4.020","4.057","3.927","-1.98%"
"Jan 15","4.034","4.323","4.398","3.961","-7.71%"
"Dec 14","4.371","4.279","4.416","4.165","5.48%"
"Nov 14","4.144","4.100","4.296","4.079","0.75%"
"Oct 14","4.113","4.335","4.335","4.113","-5.38%"
"Sep 14","4.347","4.365","4.437","4.342","0.21%"
"Aug 14","4.338","4.202","4.365","4.202","3.09%"
"Jul 14","4.208","4.167","4.238","4.148","0.98%"
"Jun 14","4.167","4.175","4.202","4.088","0.56%"
"May 14","4.144","4.404","4.410","4.144","-5.95%"
"Apr 14","4.406","4.440","4.475","4.365","-1.12%"
"Mar 14","4.456","4.332","4.627","4.160","2.53%"
"Feb 14","4.346","4.300","4.363","4.285","1.54%"
"Jan 14","4.280","4.120","4.308","4.085","12.51%"
"Dec 13","3.804","3.644","3.804","3.640","4.16%"
"Nov 13","3.652","3.635","3.681","3.519","0.52%"
"Oct 13","3.633","3.856","4.093","3.602","-5.49%"
"Sep 13","3.844","3.754","3.844","3.706","2.51%"
"Aug 13","3.750","3.608","3.760","3.544","-0.40%"
"Jul 13","3.765","4.254","4.525","3.765","-11.97%"
"Jun 13","4.277","3.586","4.398","3.540","20.82%"
"May 13","3.540","3.469","4.217","3.040","1.69%"
"Apr 13","3.481","3.293","3.763","3.050","-1.36%"
"Mar 13","3.529","3.741","4.088","3.446","-8.72%"
"Feb 13","3.866","4.242","4.265","3.866","-8.86%"
"Jan 13","4.242","4.416","4.600","4.242","-3.59%"
"Dec 12","4.400","5.047","5.047","4.290","-12.66%"
"Nov 12","5.038","5.110","5.173","4.942","-1.35%"
"Oct 12","5.107","4.913","5.179","4.886","4.31%"
"Sep 12","4.896","5.015","5.015","4.845","-2.66%"
"Aug 12","5.030","4.948","5.059","4.948","-1.74%"
"Jul 12","5.119","5.875","5.933","5.010","-13.52%"
"Jun 12","5.919","5.925","6.025","5.718","-2.17%"
"May 12","6.050","5.767","6.050","5.681","4.56%"
"Apr 12","5.786","5.765","5.860","5.650","-0.17%"
"Mar 12","5.796","5.142","6.225","5.142","11.10%"
"Feb 12","5.217","5.289","5.301","4.912","-3.21%"
"Jan 12","5.390","5.465","5.611","5.217","-0.42%"
"Dec 11","5.413","5.867","5.879","5.230","-8.00%"
"Nov 11","5.884","5.920","6.008","5.778","-0.59%"
"Oct 11","5.919","6.188","6.321","5.817","-4.95%"
"Sep 11","6.227","5.835","6.750","5.637","5.11%"
"Aug 11","5.924","6.250","6.250","5.855","-6.07%"
"Jul 11","6.307","6.535","6.660","6.150","-3.83%"
"Jun 11","6.558","6.533","6.725","6.434","-0.32%"
"May 11","6.579","6.355","6.683","6.350","1.94%"
"Apr 11","6.454","7.133","7.186","6.439","-10.44%"
"Mar 11","7.206","7.435","7.614","7.194","-2.75%"
"Feb 11","7.410","6.973","7.717","6.751","2.97%"
"Jan 11","7.196","6.035","7.787","6.035","17.97%"
"Dec 10","6.100","6.042","6.125","5.979","1.60%"
"Nov 10","6.004","5.961","6.021","5.733","0.77%"
"Oct 10","5.958","6.240","6.240","5.867","-4.41%"
"Sep 10","6.233","6.823","6.823","6.229","-10.15%"
"Aug 10","6.937","7.610","7.610","6.937","-8.70%"
"Jul 10","7.598","7.944","7.944","7.594","-4.17%"
"Jun 10","7.929","8.015","8.081","7.910","-0.94%"
"May 10","8.004","8.111","8.394","8.002","-1.32%"
"Apr 10","8.111","8.012","8.121","7.958","0.88%"
"Mar 10","8.040","7.952","8.098","7.941","0.69%"
"Feb 10","7.985","8.077","8.140","7.953","-1.32%"
"Jan 10","8.092","8.094","8.280","7.907","-0.23%"
"Dec 09","8.111","7.908","8.111","7.749","2.32%"
"Nov 09","7.927","7.950","7.975","7.909","-0.29%"
"Oct 09","7.950","8.079","8.090","7.911","-0.96%"
"Sep 09","8.027","8.135","8.148","7.914","0.63%"
"Aug 09","7.977","7.994","7.994","7.937","-0.41%"
"Jul 09","8.010","8.010","8.010","8.010","-1.27%"
"Jun 09","8.113","8.113","8.113","8.113","2.08%"
"May 09","7.948","7.948","7.948","7.948","-2.20%"
"Apr 09","8.127","8.127","8.127","8.127","-0.36%"
"Mar 09","8.156","8.156","8.156","8.156","0.98%"
"Feb 09","8.077","8.077","8.077","8.077","7.81%"
"Jan 09","7.492","7.492","7.492","7.492","0.74%"
"Dec 08","7.437","7.437","7.437","7.437","-21.32%"
"Nov 08","9.452","9.452","9.452","9.452","-0.26%"
"Oct 08","9.477","9.477","9.477","9.477","16.43%"
"Sep 08","8.140","8.140","8.140","8.140","0.99%"
"Aug 08","8.060","8.060","8.060","8.060","-16.57%"
"Jul 08","9.661","9.661","9.661","9.661","2.46%"
"Jun 08","9.429","9.429","9.429","9.429","5.60%"
"May 08","8.929","8.929","8.929","8.929","4.03%"
"Apr 08","8.583","8.583","8.583","8.583","18.11%"
"Mar 08","7.267","7.267","7.267","7.267","2.80%"
"Feb 08","7.069","7.069","7.069","7.069","15.92%"
"Jan 08","6.098","6.098","6.098","6.098","-7.37%"
"Dec 07","6.583","6.583","6.583","6.583","-5.55%"
"Nov 07","6.970","6.970","6.970","6.970","-1.51%"
"Oct 07","7.077","7.077","7.077","7.077","-1.08%"
"Sep 07","7.154","7.154","7.154","7.154","-9.16%"
"Aug 07","7.875","7.875","7.875","7.875","5.38%"
"Jul 07","7.473","7.473","7.473","7.473","0.67%"
"Jun 07","7.423","7.423","7.423","7.423","5.49%"
"May 07","7.037","7.037","7.037","7.037","-2.96%"
"Apr 07","7.252","7.252","7.252","7.252","1.13%"
"Mar 07","7.171","7.171","7.171","7.171","5.07%"
"Feb 07","6.825","6.825","6.825","6.825","-2.67%"
"Jan 07","7.012","7.012","7.012","7.012","9.91%"
"Dec 06","6.380","6.380","6.380","6.380","-4.78%"
"Nov 06","6.700","6.700","6.700","6.700","-12.71%"
"Oct 06","7.676","7.676","7.676","7.676","-7.08%"
"Sep 06","8.261","8.261","8.261","8.261","-9.22%"
"Aug 06","9.100","9.100","9.100","9.100","-7.83%"
"Jul 06","9.873","9.873","9.873","9.873","-4.16%"
"Jun 06","10.302","10.302","10.302","10.302","2.42%"
"May 06","10.059","10.059","10.059","10.059","35.15%"
"Apr 06","7.443","7.443","7.443","7.443","-5.04%"
"Mar 06","7.838","7.838","7.838","7.838","-13.87%"
"Feb 06","9.100","9.100","9.100","9.100","-7.41%"
"Jan 06","9.828","9.828","9.828","9.828","-3.58%"
"Dec 05","10.193","10.193","10.193","10.193","-6.33%"
"Nov 05","10.882","10.882","10.882","10.882","-8.61%"
"Oct 05","11.907","11.907","11.907","11.907","-0.42%"
"Sep 05","11.957","11.957","11.957","11.957","-0.57%"
"Aug 05","12.025","12.025","12.025","12.025","-1.72%"
"Jul 05","12.235","12.235","12.235","12.235","1.68%"
"Jun 05","12.033","12.033","12.033","12.033","0.30%"
"May 05","11.997","11.997","11.997","11.997","-0.95%"
"Apr 05","12.112","12.112","12.112","12.112","-1.33%"
"Mar 05","12.275","12.275","12.275","12.275","-1.50%"
"Feb 05","12.462","12.462","12.462","12.462","-0.25%"
"Jan 05","12.493","12.493","12.493","12.493","-9.91%"
"Dec 04","13.867","13.867","13.867","13.867","1.31%"
"Nov 04","13.688","13.688","13.688","13.688","0.75%"
"Oct 04","13.586","13.586","13.586","13.586","1.40%"
"Sep 04","13.398","13.398","13.398","13.398","-0.33%"
"Aug 04","13.443","13.443","13.443","13.443","6.02%"
"Jul 04","12.680","12.680","12.680","12.680","-1.92%"
"Jun 04","12.928","12.928","12.928","12.928","2.25%"
"May 04","12.643","12.643","12.643","12.643","5.11%"
"Apr 04","12.028","12.028","12.028","12.028","-4.78%"
"Mar 04","12.632","12.632","12.632","12.632","-3.81%"
"Feb 04","13.133","13.133","13.133","13.133","12.81%"
"Jan 04","11.642","11.642","11.642","11.642","-1.26%"
"Dec 03","11.790","11.790","11.790","11.790","0.57%"
"Nov 03","11.723","11.723","11.723","11.723","4.04%"
"Oct 03","11.268","11.268","11.268","11.268","-2.51%"
"Sep 03","11.558","11.558","11.558","11.558","-3.05%"
"Aug 03","11.922","11.922","11.922","11.922","2.95%"
"Jul 03","11.580","11.580","11.580","11.580","-0.92%"
"Jun 03","11.688","11.688","11.688","11.688","1.32%"
"May 03","11.536","11.536","11.536","11.536","-11.17%"
"Apr 03","12.986","12.986","12.986","12.986","0.53%"
"Mar 03","12.917","12.917","12.917","12.917","-0.56%"
"Feb 03","12.990","12.990","12.990","12.990","5.58%"
"Jan 03","12.304","12.304","12.304","12.304","-2.09%"
"Dec 02","12.567","12.567","12.567","12.567","1.11%"
"Nov 02","12.429","12.429","12.429","12.429","-3.27%"
"Oct 02","12.849","12.849","12.849","12.849","3.35%"
"Sep 02","12.433","12.433","12.433","12.433","-2.49%"
"Aug 02","12.750","12.750","12.750","12.750","1.24%"
"Jul 02","12.594","12.594","12.594","12.594","-3.71%"
"Jun 02","13.079","13.079","13.079","13.079","-2.11%"
"May 02","13.361","13.361","13.361","13.361","2.22%"
"Apr 02","13.071","13.071","13.071","13.071","-9.27%"
"Mar 02","14.406","14.406","14.406","14.406","-0.62%"
"Feb 02","14.496","14.496","14.496","14.496","0.40%"
"Jan 02","14.438","14.438","14.438","14.438","-7.03%"
"Dec 01","15.530","15.530","15.530","15.530","-1.23%"
"Nov 01","15.723","15.723","15.723","15.723","-10.75%"
"Oct 01","17.616","17.616","17.616","17.616","10.64%"
"Sep 01","15.922","15.922","15.922","15.922","0.94%"
"Aug 01","15.773","15.773","15.773","15.773","0.16%"
"Jul 01","15.748","15.748","15.748","15.748","3.78%"
"Jun 01","15.175","15.175","15.175","15.175","0.33%"
"May 01","15.125","15.125","15.125","15.125","-1.63%"
"Apr 01","15.375","15.375","15.375","15.375","2.50%"
"Mar 01","15.000","15.000","15.000","15.000","0.72%"
"Feb 01","14.893","14.893","14.893","14.893","-8.57%"
"Jan 01","16.289","16.289","16.289","16.289","-7.89%"
"Dec 00","17.685","17.685","17.685","17.685","4.27%"
"Nov 00","16.961","16.961","16.961","16.961","-12.46%"
"Oct 00","19.375","19.375","19.375","19.375","24.24%"
"Sep 00","15.595","15.595","15.595","15.595","6.63%"
"Aug 00","14.625","14.625","14.625","14.625","-0.85%"
"Jul 00","14.750","14.750","14.750","14.750","3.87%"
