"Date","Price","Open","High","Low","Change %"
"Jan 19","7.258","7.453","7.542","7.258","-2.62%"
"Dec 18","7.453","7.911","7.911","7.425","-5.79%"
"Nov 18","7.911","8.510","8.510","7.911","-7.04%"
"Oct 18","8.510","8.373","9.015","8.099","3.57%"
"Sep 18","8.217","7.240","8.217","7.215","12.96%"
"Aug 18","7.274","7.459","7.475","7.125","-3.59%"
"Jul 18","7.545","7.357","7.545","6.887","2.50%"
"Jun 18","7.361","7.213","7.500","7.000","2.11%"
"May 18","7.209","6.750","7.380","6.450","-0.12%"
"Apr 18","7.218","7.193","7.596","6.467","0.78%"
"Mar 18","7.162","6.966","7.320","6.464","4.20%"
"Feb 18","6.873","5.920","7.104","5.920","6.26%"
"Jan 18","6.468","5.557","6.468","5.557","13.39%"
"Dec 17","5.704","5.855","6.031","5.604","-1.54%"
"Nov 17","5.793","5.444","5.843","5.152","12.27%"
"Oct 17","5.160","5.495","5.495","5.141","0.23%"
"Sep 17","5.148","5.167","5.526","5.083","-0.39%"
"Aug 17","5.168","5.441","5.539","5.150","0.02%"
"Jul 17","5.167","5.074","5.473","5.065","1.63%"
"Jun 17","5.084","5.122","5.491","5.000","-7.02%"
"May 17","5.468","5.051","5.549","5.051","8.11%"
"Apr 17","5.058","5.013","5.338","4.987","0.88%"
"Mar 17","5.014","5.241","5.721","4.875","-5.02%"
"Feb 17","5.279","5.423","5.423","5.232","1.07%"
"Jan 17","5.223","5.568","5.568","5.211","-2.86%"
"Dec 16","5.377","5.596","5.612","5.248","-2.96%"
"Nov 16","5.541","4.826","5.645","4.800","14.63%"
"Oct 16","4.834","4.657","4.834","4.641","5.82%"
"Sep 16","4.568","3.959","4.591","3.856","14.14%"
"Aug 16","4.002","3.664","4.012","3.664","4.74%"
"Jul 16","3.821","4.174","4.338","3.796","-8.46%"
"Jun 16","4.174","4.449","5.077","4.149","-17.40%"
"May 16","5.053","5.330","5.342","4.356","-2.64%"
"Apr 16","5.190","5.232","5.407","4.400","-0.80%"
"Mar 16","5.232","5.427","5.465","4.617","-1.30%"
"Feb 16","5.301","5.103","5.558","4.763","-2.86%"
"Jan 16","5.457","5.473","5.603","5.011","-1.18%"
"Dec 15","5.522","5.463","5.553","5.448","1.38%"
"Nov 15","5.447","5.168","5.555","5.140","5.93%"
"Oct 15","5.142","5.183","5.207","5.003","0.14%"
"Sep 15","5.135","4.385","5.135","4.227","21.83%"
"Aug 15","4.215","5.070","5.123","4.196","-16.86%"
"Jul 15","5.070","5.148","5.148","4.968","-1.74%"
"Jun 15","5.160","5.125","5.213","5.063","0.43%"
"May 15","5.138","5.240","5.353","5.128","-0.94%"
"Apr 15","5.187","5.093","5.247","4.850","4.05%"
"Mar 15","4.985","4.923","5.016","4.907","1.69%"
"Feb 15","4.902","5.113","5.184","4.896","-3.75%"
"Jan 15","5.093","5.189","5.189","4.802","-1.55%"
"Dec 14","5.173","5.196","5.196","5.136","-0.19%"
"Nov 14","5.183","4.638","5.206","4.638","11.29%"
"Oct 14","4.657","5.269","5.269","4.657","-12.35%"
"Sep 14","5.313","5.416","5.416","5.294","-1.37%"
"Aug 14","5.387","5.258","5.473","5.258","2.20%"
"Jul 14","5.271","5.325","5.379","5.217","-1.93%"
"Jun 14","5.375","5.083","5.391","5.048","7.63%"
"May 14","4.994","5.346","5.404","4.994","-6.69%"
"Apr 14","5.352","5.392","5.514","5.331","-0.78%"
"Mar 14","5.394","5.421","5.584","5.155","0.43%"
"Feb 14","5.371","5.421","5.760","5.369","0.13%"
"Jan 14","5.364","5.419","5.419","5.276","3.35%"
"Dec 13","5.190","4.640","5.190","4.640","12.83%"
"Nov 13","4.600","4.450","4.610","4.400","4.31%"
"Oct 13","4.410","4.430","4.830","4.410","2.80%"
"Sep 13","4.290","4.300","4.320","4.150","-0.23%"
"Aug 13","4.300","4.130","4.420","4.120","0.47%"
"Jul 13","4.280","4.280","4.670","4.220","-0.47%"
"Jun 13","4.300","3.800","4.670","3.690","13.46%"
"May 13","3.790","3.700","4.040","3.550","2.16%"
"Apr 13","3.710","3.750","3.910","3.540","-2.62%"
"Mar 13","3.810","5.260","5.260","3.780","-26.31%"
"Feb 13","5.170","5.790","5.820","5.060","-10.71%"
"Jan 13","5.790","5.970","5.970","5.720","-3.02%"
"Dec 12","5.970","6.090","6.090","5.710","0.17%"
"Nov 12","5.960","5.840","5.960","5.780","1.53%"
"Oct 12","5.870","5.860","5.970","5.820","0.34%"
"Sep 12","5.850","5.790","5.910","5.730","0.34%"
"Aug 12","5.830","5.690","5.890","5.690","1.57%"
"Jul 12","5.740","6.010","6.010","5.610","-4.65%"
"Jun 12","6.020","6.140","6.330","5.960","-3.22%"
"May 12","6.220","6.100","6.280","5.950","1.14%"
"Apr 12","6.150","6.090","6.230","5.990","2.33%"
"Mar 12","6.010","5.860","6.450","5.690","-0.33%"
"Feb 12","6.030","6.330","6.330","5.710","-7.80%"
"Jan 12","6.540","6.660","6.810","6.390","-0.61%"
"Dec 11","6.580","7.130","7.210","6.490","-9.74%"
"Nov 11","7.290","7.260","7.440","7.130","-0.55%"
"Oct 11","7.330","7.500","7.670","7.150","-1.87%"
"Sep 11","7.470","7.580","7.940","7.120","-2.10%"
"Aug 11","7.630","7.960","8.030","7.600","-4.62%"
"Jul 11","8.000","8.160","8.290","7.950","-2.68%"
"Jun 11","8.220","8.030","8.290","8.030","1.11%"
"May 11","8.130","8.040","8.200","8.030","0.37%"
"Apr 11","8.100","8.210","8.240","8.040","-1.58%"
"Mar 11","8.230","8.550","8.590","8.230","-4.30%"
"Feb 11","8.600","8.590","8.780","8.530","-0.81%"
"Jan 11","8.670","8.150","9.350","8.070","6.12%"
"Dec 10","8.170","7.990","8.250","7.990","2.51%"
"Nov 10","7.970","7.960","8.050","7.820","1.27%"
"Oct 10","7.870","8.140","8.140","7.740","-2.84%"
"Sep 10","8.100","8.360","8.490","8.100","-2.88%"
"Aug 10","8.340","8.630","8.630","8.340","-3.14%"
"Jul 10","8.610","8.890","8.890","8.580","-3.15%"
"Jun 10","8.890","8.930","9.030","8.870","-0.11%"
"May 10","8.900","9.140","9.250","8.900","-2.63%"
"Apr 10","9.140","9.110","9.190","9.090","0.33%"
"Mar 10","9.110","9.150","9.210","9.100","-0.65%"
"Feb 10","9.170","9.210","9.270","9.170","-0.65%"
"Jan 10","9.230","9.140","9.310","9.130","0.87%"
"Dec 09","9.150","9.130","9.150","9.050","1.33%"
"Nov 09","9.030","9.000","9.070","8.970","-0.33%"
